,symbol,metric,value
3831,IP,Volume,"4,866,958"
3832,IP,Avg. Volume,"2,816,068"
3833,IP,Market Cap,11.273B
3834,IP,Beta (5Y Monthly),1.03
3835,IP,PE Ratio (TTM),15.30
3836,IP,EPS (TTM),2.13
3837,IP,Earnings Date,"Jan 29, 2024 - Feb 02, 2024"
3838,IP,Forward Dividend & Yield,1.85 (5.54%)
3839,IP,Ex-Dividend Date,"Nov 14, 2023"
3840,IP,1y Target Est,35.33
3841,IPG,Previous Close,28.98
3842,IPG,Open,28.78
3843,IPG,Bid,28.76 x 1100
3844,IPG,Ask,28.73 x 1400
3845,IPG,Day's Range,28.55 - 28.92
3846,IPG,52 Week Range,27.20 - 40.95
3847,IPG,Volume,"2,818,799"
3848,IPG,Avg. Volume,"3,675,575"
3849,IPG,Market Cap,11.004B
3850,IPG,Beta (5Y Monthly),1.17
3851,IPG,PE Ratio (TTM),12.02
3852,IPG,EPS (TTM),2.39
3853,IPG,Earnings Date,"Feb 07, 2024 - Feb 12, 2024"
3854,IPG,Forward Dividend & Yield,1.24 (4.28%)
3855,IPG,Ex-Dividend Date,"Nov 30, 2023"
3856,IPG,1y Target Est,33.73
3857,INTU,Previous Close,564.50
3858,INTU,Open,560.09
3859,INTU,Bid,563.20 x 1100
3860,INTU,Ask,564.04 x 1000
3861,INTU,Day's Range,560.00 - 564.90
3862,INTU,52 Week Range,370.62 - 567.03
3863,INTU,Volume,"148,556"
3864,INTU,Avg. Volume,"1,436,254"
3865,INTU,Market Cap,157.695B
3866,INTU,Beta (5Y Monthly),1.19
3867,INTU,PE Ratio (TTM),66.91
3868,INTU,EPS (TTM),8.41
3869,INTU,Earnings Date,"Nov 28, 2023"
3870,INTU,Forward Dividend & Yield,3.60 (0.64%)
3871,INTU,Ex-Dividend Date,"Oct 06, 2023"
3872,INTU,1y Target Est,568.91
3873,ISRG,Previous Close,305.28
3874,ISRG,Open,305.44
3875,ISRG,Bid,310.88 x 1200
3876,ISRG,Ask,311.90 x 800
3877,ISRG,Day's Range,305.00 - 312.20
3878,ISRG,52 Week Range,222.65 - 358.07
3879,ISRG,Volume,"1,448,887"
3880,ISRG,Avg. Volume,"1,906,112"
3881,ISRG,Market Cap,109.614B
3882,ISRG,Beta (5Y Monthly),1.31
3883,ISRG,PE Ratio (TTM),71.90
3884,ISRG,EPS (TTM),4.33
3885,ISRG,Earnings Date,"Jan 22, 2024 - Jan 26, 2024"
3886,ISRG,Forward Dividend & Yield,N/A (N/A)
3887,ISRG,Ex-Dividend Date,N/A
3888,ISRG,1y Target Est,328.56
3889,IVZ,Previous Close,13.96
3890,IVZ,Open,13.84
3891,IVZ,Bid,13.65 x 1000
3892,IVZ,Ask,13.65 x 1000
3893,IVZ,Day's Range,13.59 - 13.91
3894,IVZ,52 Week Range,12.48 - 20.56
3895,IVZ,Volume,"474,832"
3896,IVZ,Avg. Volume,"4,391,675"
3897,IVZ,Market Cap,6.125B
3898,IVZ,Beta (5Y Monthly),1.44
3899,IVZ,PE Ratio (TTM),10.48
3900,IVZ,EPS (TTM),1.30
3901,IVZ,Earnings Date,"Jan 22, 2024 - Jan 26, 2024"
3902,IVZ,Forward Dividend & Yield,0.80 (5.73%)
3903,IVZ,Ex-Dividend Date,"Nov 09, 2023"
3904,IVZ,1y Target Est,14.60
3905,INVH,Previous Close,33.53
3906,INVH,Open,33.44
3907,INVH,Bid,0.00 x 1000
3908,INVH,Ask,34.50 x 1100
3909,INVH,Day's Range,33.17 - 33.65
3910,INVH,52 Week Range,28.49 - 36.53
3911,INVH,Volume,"1,945,085"
3912,INVH,Avg. Volume,"2,820,842"
3913,INVH,Market Cap,20.586B
3914,INVH,Beta (5Y Monthly),0.93
3915,INVH,PE Ratio (TTM),41.36
3916,INVH,EPS (TTM),0.81
3917,INVH,Earnings Date,"Feb 13, 2024 - Feb 19, 2024"
3918,INVH,Forward Dividend & Yield,1.04 (3.10%)
3919,INVH,Ex-Dividend Date,"Nov 06, 2023"
3920,INVH,1y Target Est,35.89
3921,IQV,Previous Close,204.79
3922,IQV,Open,204.38
3923,IQV,Bid,205.75 x 1400
3924,IQV,Ask,205.88 x 800
3925,IQV,Day's Range,201.55 - 206.55
3926,IQV,52 Week Range,167.42 - 241.86
3927,IQV,Volume,"1,006,692"
3928,IQV,Avg. Volume,"1,258,221"
3929,IQV,Market Cap,37.569B
3930,IQV,Beta (5Y Monthly),1.42
3931,IQV,PE Ratio (TTM),34.54
3932,IQV,EPS (TTM),5.96
3933,IQV,Earnings Date,"Feb 08, 2024 - Feb 12, 2024"
3934,IQV,Forward Dividend & Yield,N/A (N/A)
3935,IQV,Ex-Dividend Date,N/A
3936,IQV,1y Target Est,225.37
3937,IRM,Previous Close,63.22
3938,IRM,Open,63.00
3939,IRM,Bid,62.98 x 1200
3940,IRM,Ask,63.02 x 800
3941,IRM,Day's Range,62.56 - 63.10
3942,IRM,52 Week Range,48.92 - 64.48
3943,IRM,Volume,"111,253"
3944,IRM,Avg. Volume,"1,590,457"
3945,IRM,Market Cap,18.359B
3946,IRM,Beta (5Y Monthly),0.93
3947,IRM,PE Ratio (TTM),66.89
3948,IRM,EPS (TTM),0.94
3949,IRM,Earnings Date,"Feb 21, 2024 - Feb 26, 2024"
3950,IRM,Forward Dividend & Yield,2.60 (4.11%)
3951,IRM,Ex-Dividend Date,"Dec 14, 2023"
3952,IRM,1y Target Est,65.13
3953,JBHT,Previous Close,178.08
3954,JBHT,Open,178.18
3955,JBHT,Bid,173.36 x 800
3956,JBHT,Ask,178.37 x 900
3957,JBHT,Day's Range,177.18 - 179.43
3958,JBHT,52 Week Range,163.66 - 209.21
3959,JBHT,Volume,"564,537"
3960,JBHT,Avg. Volume,"782,353"
3961,JBHT,Market Cap,18.345B
3962,JBHT,Beta (5Y Monthly),1.16
3963,JBHT,PE Ratio (TTM),23.94
3964,JBHT,EPS (TTM),7.43
3965,JBHT,Earnings Date,"Jan 16, 2024 - Jan 22, 2024"
3966,JBHT,Forward Dividend & Yield,1.68 (0.94%)
3967,JBHT,Ex-Dividend Date,"Nov 09, 2023"
3968,JBHT,1y Target Est,199.68
3969,JKHY,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
3970,J,Previous Close,136.98
3971,J,Open,132.00
3972,J,Bid,127.69 x 900
3973,J,Ask,128.11 x 800
3974,J,Day's Range,126.80 - 132.35
3975,J,52 Week Range,109.00 - 141.16
3976,J,Volume,"708,610"
3977,J,Avg. Volume,"619,156"
3978,J,Market Cap,16.051B
3979,J,Beta (5Y Monthly),0.83
3980,J,PE Ratio (TTM),21.94
3981,J,EPS (TTM),5.81
3982,J,Earnings Date,N/A
3983,J,Forward Dividend & Yield,1.04 (0.76%)
3984,J,Ex-Dividend Date,"Oct 26, 2023"
3985,J,1y Target Est,159.77
3986,JNJ,Previous Close,148.60
3987,JNJ,Open,147.91
3988,JNJ,Bid,150.00 x 900
3989,JNJ,Ask,150.03 x 1000
3990,JNJ,Day's Range,147.55 - 150.12
3991,JNJ,52 Week Range,144.95 - 181.04
3992,JNJ,Volume,"1,991,837"
3993,JNJ,Avg. Volume,"13,288,545"
3994,JNJ,Market Cap,360.731B
3995,JNJ,Beta (5Y Monthly),0.58
3996,JNJ,PE Ratio (TTM),28.11
3997,JNJ,EPS (TTM),5.33
3998,JNJ,Earnings Date,"Jan 23, 2024"
3999,JNJ,Forward Dividend & Yield,4.76 (3.18%)
4000,JNJ,Ex-Dividend Date,"Nov 20, 2023"
4001,JNJ,1y Target Est,176.05
4002,JCI,Previous Close,52.40
4003,JCI,Open,52.00
4004,JCI,Bid,52.42 x 900
4005,JCI,Ask,52.46 x 1200
4006,JCI,Day's Range,51.85 - 52.56
4007,JCI,52 Week Range,47.90 - 70.43
4008,JCI,Volume,"416,188"
4009,JCI,Avg. Volume,"4,390,750"
4010,JCI,Market Cap,35.703B
4011,JCI,Beta (5Y Monthly),1.28
4012,JCI,PE Ratio (TTM),17.61
4013,JCI,EPS (TTM),2.98
4014,JCI,Earnings Date,"Jan 30, 2024 - Feb 05, 2024"
4015,JCI,Forward Dividend & Yield,1.48 (2.82%)
4016,JCI,Ex-Dividend Date,"Sep 22, 2023"
4017,JCI,1y Target Est,69.28
4018,JPM,Previous Close,152.82
4019,JPM,Open,152.08
4020,JPM,Bid,153.20 x 900
4021,JPM,Ask,153.72 x 800
4022,JPM,Day's Range,151.92 - 153.75
4023,JPM,52 Week Range,123.11 - 159.38
4024,JPM,Volume,"5,289,719"
4025,JPM,Avg. Volume,"9,242,537"
4026,JPM,Market Cap,443.163B
4027,JPM,Beta (5Y Monthly),1.10
4028,JPM,PE Ratio (TTM),9.15
4029,JPM,EPS (TTM),16.76
4030,JPM,Earnings Date,"Jan 12, 2024"
4031,JPM,Forward Dividend & Yield,4.20 (2.75%)
4032,JPM,Ex-Dividend Date,"Oct 05, 2023"
4033,JPM,1y Target Est,155.66
4034,JNPR,Previous Close,26.92
4035,JNPR,Open,26.91
4036,JNPR,Bid,26.86 x 800
4037,JNPR,Ask,26.89 x 1400
4038,JNPR,Day's Range,26.81 - 27.03
4039,JNPR,52 Week Range,24.87 - 34.53
4040,JNPR,Volume,"205,582"
4041,JNPR,Avg. Volume,"3,250,468"
4042,JNPR,Market Cap,8.571B
4043,JNPR,Beta (5Y Monthly),0.93
4044,JNPR,PE Ratio (TTM),24.00
4045,JNPR,EPS (TTM),1.12
4046,JNPR,Earnings Date,"Jan 29, 2024 - Feb 02, 2024"
4047,JNPR,Forward Dividend & Yield,0.88 (3.27%)
4048,JNPR,Ex-Dividend Date,"Nov 30, 2023"
4049,JNPR,1y Target Est,31.63
4050,K,Previous Close,52.52
4051,K,Open,52.62
4052,K,Bid,52.12 x 1000
4053,K,Ask,53.00 x 800
4054,K,Day's Range,52.44 - 53.12
4055,K,52 Week Range,47.63 - 70.16
4056,K,Volume,"159,558"
4057,K,Avg. Volume,"2,907,684"
4058,K,Market Cap,18.006B
4059,K,Beta (5Y Monthly),0.44
4060,K,PE Ratio (TTM),22.09
4061,K,EPS (TTM),2.38
4062,K,Earnings Date,"Feb 07, 2024 - Feb 12, 2024"
4063,K,Forward Dividend & Yield,2.24 (4.27%)
4064,K,Ex-Dividend Date,"Nov 30, 2023"
4065,K,1y Target Est,56.75
4066,KVUE,Previous Close,19.75
4067,KVUE,Open,19.74
4068,KVUE,Bid,19.86 x 3000
4069,KVUE,Ask,19.87 x 3100
4070,KVUE,Day's Range,19.72 - 19.93
4071,KVUE,52 Week Range,17.82 - 27.80
4072,KVUE,Volume,"1,655,047"
4073,KVUE,Avg. Volume,"35,350,109"
4074,KVUE,Market Cap,38.142B
4075,KVUE,Beta (5Y Monthly),N/A
4076,KVUE,PE Ratio (TTM),35.57
4077,KVUE,EPS (TTM),0.56
4078,KVUE,Earnings Date,N/A
4079,KVUE,Forward Dividend & Yield,0.80 (4.05%)
4080,KVUE,Ex-Dividend Date,"Nov 07, 2023"
4081,KVUE,1y Target Est,23.67
4082,KDP,Previous Close,31.78
4083,KDP,Open,31.70
4084,KDP,Bid,31.72 x 4000
4085,KDP,Ask,31.73 x 900
4086,KDP,Day's Range,31.67 - 31.86
4087,KDP,52 Week Range,27.66 - 38.94
4088,KDP,Volume,"380,940"
4089,KDP,Avg. Volume,"8,581,525"
4090,KDP,Market Cap,44.334B
4091,KDP,Beta (5Y Monthly),0.67
4092,KDP,PE Ratio (TTM),23.14
4093,KDP,EPS (TTM),1.37
4094,KDP,Earnings Date,"Feb 21, 2024 - Feb 26, 2024"
4095,KDP,Forward Dividend & Yield,0.86 (2.71%)
4096,KDP,Ex-Dividend Date,"Sep 28, 2023"
4097,KDP,1y Target Est,35.65
4098,KEY,Previous Close,12.32
4099,KEY,Open,12.31
4100,KEY,Bid,12.28 x 4000
4101,KEY,Ask,12.29 x 2900
4102,KEY,Day's Range,12.11 - 12.33
4103,KEY,52 Week Range,8.54 - 20.30
4104,KEY,Volume,"8,352,871"
4105,KEY,Avg. Volume,"14,656,459"
4106,KEY,Market Cap,11.469B
4107,KEY,Beta (5Y Monthly),1.27
4108,KEY,PE Ratio (TTM),9.96
4109,KEY,EPS (TTM),1.23
4110,KEY,Earnings Date,"Jan 18, 2024"
4111,KEY,Forward Dividend & Yield,0.82 (6.66%)
4112,KEY,Ex-Dividend Date,"Aug 28, 2023"
4113,KEY,1y Target Est,12.76
4114,KEYS,Previous Close,133.18
4115,KEYS,Open,132.82
4116,KEYS,Bid,115.55 x 800
4117,KEYS,Ask,0.00 x 900
4118,KEYS,Day's Range,132.75 - 135.59
4119,KEYS,52 Week Range,118.57 - 189.45
4120,KEYS,Volume,"1,758,739"
4121,KEYS,Avg. Volume,"1,347,323"
4122,KEYS,Market Cap,23.958B
4123,KEYS,Beta (5Y Monthly),N/A
4124,KEYS,PE Ratio (TTM),21.45
4125,KEYS,EPS (TTM),6.29
4126,KEYS,Earnings Date,"Feb 19, 2024 - Feb 23, 2024"
4127,KEYS,Forward Dividend & Yield,N/A (N/A)
4128,KEYS,Ex-Dividend Date,N/A
4129,KEYS,1y Target Est,164.57
4130,KMB,Previous Close,120.54
4131,KMB,Open,120.78
4132,KMB,Bid,121.42 x 1100
4133,KMB,Ask,121.49 x 900
4134,KMB,Day's Range,120.37 - 121.50
4135,KMB,52 Week Range,116.32 - 147.87
4136,KMB,Volume,"194,057"
4137,KMB,Avg. Volume,"1,740,798"
4138,KMB,Market Cap,40.989B
4139,KMB,Beta (5Y Monthly),0.40
4140,KMB,PE Ratio (TTM),23.33
4141,KMB,EPS (TTM),5.20
4142,KMB,Earnings Date,"Jan 23, 2024 - Jan 29, 2024"
4143,KMB,Forward Dividend & Yield,4.72 (3.92%)
4144,KMB,Ex-Dividend Date,"Dec 07, 2023"
4145,KMB,1y Target Est,130.88
4146,KIM,Previous Close,18.80
4147,KIM,Open,18.83
4148,KIM,Bid,18.77 x 3100
4149,KIM,Ask,18.78 x 3200
4150,KIM,Day's Range,18.57 - 18.85
4151,KIM,52 Week Range,16.34 - 23.27
4152,KIM,Volume,"1,784,167"
4153,KIM,Avg. Volume,"4,981,576"
4154,KIM,Market Cap,11.682B
4155,KIM,Beta (5Y Monthly),1.48
4156,KIM,PE Ratio (TTM),26.54
4157,KIM,EPS (TTM),0.71
4158,KIM,Earnings Date,"Oct 25, 2023 - Oct 30, 2023"
4159,KIM,Forward Dividend & Yield,0.96 (5.11%)
4160,KIM,Ex-Dividend Date,"Dec 06, 2023"
4161,KIM,1y Target Est,21.68
4162,KMI,Previous Close,16.96
4163,KMI,Open,16.96
4164,KMI,Bid,16.98 x 3200
4165,KMI,Ask,17.00 x 3000
4166,KMI,Day's Range,16.91 - 17.09
4167,KMI,52 Week Range,15.89 - 19.36
4168,KMI,Volume,"9,782,753"
4169,KMI,Avg. Volume,"13,484,547"
4170,KMI,Market Cap,37.654B
4171,KMI,Beta (5Y Monthly),0.94
4172,KMI,PE Ratio (TTM),15.54
4173,KMI,EPS (TTM),1.09
4174,KMI,Earnings Date,"Jan 16, 2024 - Jan 22, 2024"
4175,KMI,Forward Dividend & Yield,1.13 (6.66%)
4176,KMI,Ex-Dividend Date,"Oct 30, 2023"
4177,KMI,1y Target Est,20.28
4178,KLAC,Previous Close,557.75
4179,KLAC,Open,555.37
4180,KLAC,Bid,552.98 x 800
4181,KLAC,Ask,553.48 x 900
4182,KLAC,Day's Range,550.68 - 555.94
4183,KLAC,52 Week Range,355.88 - 559.42
4184,KLAC,Volume,"111,461"
4185,KLAC,Avg. Volume,"956,285"
4186,KLAC,Market Cap,74.855B
4187,KLAC,Beta (5Y Monthly),1.34
4188,KLAC,PE Ratio (TTM),24.62
4189,KLAC,EPS (TTM),22.37
4190,KLAC,Earnings Date,"Jan 24, 2024 - Jan 29, 2024"
4191,KLAC,Forward Dividend & Yield,5.80 (1.04%)
4192,KLAC,Ex-Dividend Date,"Nov 14, 2023"
4193,KLAC,1y Target Est,544.17
4194,KHC,Previous Close,33.66
4195,KHC,Open,33.56
4196,KHC,Bid,33.78 x 2900
4197,KHC,Ask,33.81 x 1400
4198,KHC,Day's Range,33.54 - 33.89
4199,KHC,52 Week Range,30.68 - 42.80
4200,KHC,Volume,"6,503,648"
4201,KHC,Avg. Volume,"7,842,934"
4202,KHC,Market Cap,41.445B
4203,KHC,Beta (5Y Monthly),0.69
4204,KHC,PE Ratio (TTM),13.96
4205,KHC,EPS (TTM),2.42
4206,KHC,Earnings Date,"Feb 13, 2024 - Feb 19, 2024"
4207,KHC,Forward Dividend & Yield,1.60 (4.75%)
4208,KHC,Ex-Dividend Date,"Nov 30, 2023"
4209,KHC,1y Target Est,34.16
4210,KR,Previous Close,42.44
4211,KR,Open,42.50
4212,KR,Bid,42.98 x 1300
4213,KR,Ask,42.99 x 800
4214,KR,Day's Range,42.31 - 43.11
4215,KR,52 Week Range,42.10 - 50.41
4216,KR,Volume,"4,408,641"
4217,KR,Avg. Volume,"4,667,758"
4218,KR,Market Cap,30.873B
4219,KR,Beta (5Y Monthly),0.50
4220,KR,PE Ratio (TTM),18.91
4221,KR,EPS (TTM),2.27
4222,KR,Earnings Date,"Nov 30, 2023"
4223,KR,Forward Dividend & Yield,1.16 (2.73%)
4224,KR,Ex-Dividend Date,"Nov 14, 2023"
4225,KR,1y Target Est,50.26
4226,LHX,Previous Close,186.48
4227,LHX,Open,186.68
4228,LHX,Bid,187.22 x 1000
4229,LHX,Ask,187.41 x 800
4230,LHX,Day's Range,186.34 - 187.95
4231,LHX,52 Week Range,160.25 - 230.73
4232,LHX,Volume,"98,867"
4233,LHX,Avg. Volume,"1,334,901"
4234,LHX,Market Cap,35.584B
4235,LHX,Beta (5Y Monthly),0.68
4236,LHX,PE Ratio (TTM),24.13
4237,LHX,EPS (TTM),7.78
4238,LHX,Earnings Date,"Jan 24, 2024 - Jan 29, 2024"
4239,LHX,Forward Dividend & Yield,4.56 (2.45%)
4240,LHX,Ex-Dividend Date,"Nov 16, 2023"
4241,LHX,1y Target Est,220.95
4242,LH,Previous Close,211.72
4243,LH,Open,210.97
4244,LH,Bid,212.68 x 900
4245,LH,Ask,212.83 x 800
4246,LH,Day's Range,210.03 - 212.99
4247,LH,52 Week Range,179.59 - 222.42
4248,LH,Volume,"109,483"
4249,LH,Avg. Volume,"832,048"
4250,LH,Market Cap,18.076B
4251,LH,Beta (5Y Monthly),1.05
4252,LH,PE Ratio (TTM),21.90
4253,LH,EPS (TTM),9.72
4254,LH,Earnings Date,"Feb 14, 2024 - Feb 19, 2024"
4255,LH,Forward Dividend & Yield,2.88 (1.36%)
4256,LH,Ex-Dividend Date,"Nov 07, 2023"
4257,LH,1y Target Est,240.54
4258,LRCX,Previous Close,700.34
4259,LRCX,Open,697.33
4260,LRCX,Bid,718.10 x 800
4261,LRCX,Ask,719.98 x 1100
4262,LRCX,Day's Range,697.33 - 721.00
4263,LRCX,52 Week Range,397.06 - 726.53
4264,LRCX,Volume,"997,245"
4265,LRCX,Avg. Volume,"1,035,909"
4266,LRCX,Market Cap,94.778B
4267,LRCX,Beta (5Y Monthly),1.52
4268,LRCX,PE Ratio (TTM),23.75
4269,LRCX,EPS (TTM),30.28
4270,LRCX,Earnings Date,"Jan 23, 2024 - Jan 29, 2024"
4271,LRCX,Forward Dividend & Yield,8.00 (1.14%)
4272,LRCX,Ex-Dividend Date,"Dec 12, 2023"
4273,LRCX,1y Target Est,697.71
4274,LW,Previous Close,95.80
4275,LW,Open,95.77
4276,LW,Bid,89.00 x 800
4277,LW,Ask,97.76 x 900
4278,LW,Day's Range,95.49 - 97.64
4279,LW,52 Week Range,81.25 - 117.38
4280,LW,Volume,"2,091,144"
4281,LW,Avg. Volume,"2,140,057"
4282,LW,Market Cap,14.106B
4283,LW,Beta (5Y Monthly),0.64
4284,LW,PE Ratio (TTM),14.00
4285,LW,EPS (TTM),6.95
4286,LW,Earnings Date,"Jan 03, 2024 - Jan 08, 2024"
4287,LW,Forward Dividend & Yield,1.12 (1.15%)
4288,LW,Ex-Dividend Date,"Nov 02, 2023"
4289,LW,1y Target Est,124.50
4290,LVS,Previous Close,49.28
4291,LVS,Open,48.81
4292,LVS,Bid,49.45 x 1000
4293,LVS,Ask,49.47 x 900
4294,LVS,Day's Range,48.81 - 49.58
4295,LVS,52 Week Range,41.72 - 65.58
4296,LVS,Volume,"193,020"
4297,LVS,Avg. Volume,"4,622,784"
4298,LVS,Market Cap,37.644B
4299,LVS,Beta (5Y Monthly),1.20
4300,LVS,PE Ratio (TTM),56.60
4301,LVS,EPS (TTM),0.87
4302,LVS,Earnings Date,"Jan 23, 2024 - Jan 29, 2024"
4303,LVS,Forward Dividend & Yield,0.40 (0.81%)
4304,LVS,Ex-Dividend Date,"Nov 06, 2023"
4305,LVS,1y Target Est,66.59
4306,LDOS,Previous Close,105.92
4307,LDOS,Open,105.95
4308,LDOS,Bid,106.00 x 1300
4309,LDOS,Ask,106.20 x 800
4310,LDOS,Day's Range,105.34 - 106.20
4311,LDOS,52 Week Range,76.58 - 110.91
4312,LDOS,Volume,"20,809"
4313,LDOS,Avg. Volume,"707,203"
4314,LDOS,Market Cap,14.603B
4315,LDOS,Beta (5Y Monthly),0.76
4316,LDOS,PE Ratio (TTM),100.19
4317,LDOS,EPS (TTM),1.06
4318,LDOS,Earnings Date,"Feb 12, 2024 - Feb 16, 2024"
4319,LDOS,Forward Dividend & Yield,1.52 (1.44%)
4320,LDOS,Ex-Dividend Date,"Dec 14, 2023"
4321,LDOS,1y Target Est,118.50
4322,LEN,Previous Close,128.30
4323,LEN,Open,127.74
4324,LEN,Bid,128.05 x 1000
4325,LEN,Ask,128.09 x 800
4326,LEN,Day's Range,127.25 - 128.48
4327,LEN,52 Week Range,83.90 - 133.24
4328,LEN,Volume,"175,706"
4329,LEN,Avg. Volume,"2,172,834"
4330,LEN,Market Cap,36.062B
4331,LEN,Beta (5Y Monthly),1.48
4332,LEN,PE Ratio (TTM),9.50
4333,LEN,EPS (TTM),13.48
4334,LEN,Earnings Date,"Dec 12, 2023 - Dec 18, 2023"
4335,LEN,Forward Dividend & Yield,1.50 (1.17%)
4336,LEN,Ex-Dividend Date,"Oct 11, 2023"
4337,LEN,1y Target Est,139.29
4338,LIN,Previous Close,408.27
4339,LIN,Open,411.04
4340,LIN,Bid,411.88 x 800
4341,LIN,Ask,412.58 x 800
4342,LIN,Day's Range,409.44 - 414.97
4343,LIN,52 Week Range,302.17 - 414.97
4344,LIN,Volume,"242,233"
4345,LIN,Avg. Volume,"1,324,669"
4346,LIN,Market Cap,200.153B
4347,LIN,Beta (5Y Monthly),0.89
4348,LIN,PE Ratio (TTM),34.17
4349,LIN,EPS (TTM),12.08
4350,LIN,Earnings Date,N/A
4351,LIN,Forward Dividend & Yield,5.10 (1.25%)
4352,LIN,Ex-Dividend Date,"Dec 01, 2023"
4353,LIN,1y Target Est,425.90
4354,LYV,Previous Close,89.82
4355,LYV,Open,89.35
4356,LYV,Bid,87.88 x 1800
4357,LYV,Ask,88.01 x 800
4358,LYV,Day's Range,87.71 - 89.32
4359,LYV,52 Week Range,64.25 - 101.74
4360,LYV,Volume,"232,950"
4361,LYV,Avg. Volume,"1,894,176"
4362,LYV,Market Cap,20.303B
4363,LYV,Beta (5Y Monthly),1.31
4364,LYV,PE Ratio (TTM),58.77
4365,LYV,EPS (TTM),1.50
4366,LYV,Earnings Date,"Feb 21, 2024 - Feb 26, 2024"
4367,LYV,Forward Dividend & Yield,N/A (N/A)
4368,LYV,Ex-Dividend Date,N/A
4369,LYV,1y Target Est,110.61
4370,LKQ,Previous Close,45.53
4371,LKQ,Open,45.40
4372,LKQ,Bid,45.59 x 900
4373,LKQ,Ask,45.60 x 900
4374,LKQ,Day's Range,44.90 - 45.63
4375,LKQ,52 Week Range,41.49 - 59.38
4376,LKQ,Volume,"954,095"
4377,LKQ,Avg. Volume,"1,600,906"
4378,LKQ,Market Cap,12.206B
4379,LKQ,Beta (5Y Monthly),1.34
4380,LKQ,PE Ratio (TTM),12.78
4381,LKQ,EPS (TTM),3.57
4382,LKQ,Earnings Date,"Oct 26, 2023"
4383,LKQ,Forward Dividend & Yield,1.20 (2.64%)
4384,LKQ,Ex-Dividend Date,"Nov 15, 2023"
4385,LKQ,1y Target Est,62.75
4386,LMT,Previous Close,444.68
4387,LMT,Open,444.03
4388,LMT,Bid,444.50 x 800
4389,LMT,Ask,444.69 x 1800
4390,LMT,Day's Range,440.76 - 445.00
4391,LMT,52 Week Range,393.77 - 508.10
4392,LMT,Volume,"649,505"
4393,LMT,Avg. Volume,"1,321,142"
4394,LMT,Market Cap,110.275B
4395,LMT,Beta (5Y Monthly),0.60
4396,LMT,PE Ratio (TTM),16.28
4397,LMT,EPS (TTM),27.30
4398,LMT,Earnings Date,"Jan 22, 2024 - Jan 26, 2024"
4399,LMT,Forward Dividend & Yield,12.60 (2.83%)
4400,LMT,Ex-Dividend Date,"Nov 30, 2023"
4401,LMT,1y Target Est,484.10
4402,L,Previous Close,66.44
4403,L,Open,66.46
4404,L,Bid,66.62 x 1000
4405,L,Ask,67.40 x 800
4406,L,Day's Range,66.16 - 66.86
4407,L,52 Week Range,52.85 - 66.86
4408,L,Volume,"718,790"
4409,L,Avg. Volume,"759,185"
4410,L,Market Cap,14.853B
4411,L,Beta (5Y Monthly),0.80
4412,L,PE Ratio (TTM),10.13
4413,L,EPS (TTM),6.57
4414,L,Earnings Date,"Feb 05, 2024 - Feb 09, 2024"
4415,L,Forward Dividend & Yield,0.25 (0.38%)
4416,L,Ex-Dividend Date,"Nov 21, 2023"
4417,L,1y Target Est,N/A
4418,LOW,Previous Close,204.44
4419,LOW,Open,197.52
4420,LOW,Bid,200.72 x 800
4421,LOW,Ask,200.85 x 1100
4422,LOW,Day's Range,196.63 - 201.74
4423,LOW,52 Week Range,181.85 - 237.21
4424,LOW,Volume,"2,337,083"
4425,LOW,Avg. Volume,"2,703,484"
4426,LOW,Market Cap,115.515B
4427,LOW,Beta (5Y Monthly),1.06
4428,LOW,PE Ratio (TTM),19.40
4429,LOW,EPS (TTM),10.32
4430,LOW,Earnings Date,"Nov 21, 2023"
4431,LOW,Forward Dividend & Yield,4.40 (2.15%)
4432,LOW,Ex-Dividend Date,"Jan 23, 2024"
4433,LOW,1y Target Est,232.06
4434,LULU,Previous Close,422.44
4435,LULU,Open,423.89
4436,LULU,Bid,427.71 x 1000
4437,LULU,Ask,428.90 x 1000
4438,LULU,Day's Range,422.77 - 429.59
4439,LULU,52 Week Range,286.58 - 437.06
4440,LULU,Volume,"827,191"
4441,LULU,Avg. Volume,"2,020,209"
4442,LULU,Market Cap,54.233B
4443,LULU,Beta (5Y Monthly),1.34
4444,LULU,PE Ratio (TTM),53.44
4445,LULU,EPS (TTM),8.02
4446,LULU,Earnings Date,"Dec 06, 2023 - Dec 11, 2023"
4447,LULU,Forward Dividend & Yield,N/A (N/A)
4448,LULU,Ex-Dividend Date,N/A
4449,LULU,1y Target Est,435.79
4450,LYB,Previous Close,96.35
4451,LYB,Open,96.28
4452,LYB,Bid,95.72 x 800
4453,LYB,Ask,95.94 x 900
4454,LYB,Day's Range,95.74 - 96.50
4455,LYB,52 Week Range,79.20 - 102.05
4456,LYB,Volume,"128,896"
4457,LYB,Avg. Volume,"1,885,542"
4458,LYB,Market Cap,31.126B
4459,LYB,Beta (5Y Monthly),1.20
4460,LYB,PE Ratio (TTM),13.73
4461,LYB,EPS (TTM),6.99
4462,LYB,Earnings Date,"Feb 01, 2024 - Feb 05, 2024"
4463,LYB,Forward Dividend & Yield,5.00 (5.19%)
4464,LYB,Ex-Dividend Date,"Nov 24, 2023"
4465,LYB,1y Target Est,101.00
4466,MTB,Previous Close,126.94
4467,MTB,Open,126.17
